mod-name,english-name,description,mod-lable,is-client,mcmod-url,project-id,source,,,,,,,,,,,,,
鸽子之家定制模块,dove home module,掌控mc的神,"科技,魔法,冒险,优化,辅助,实用,食物/农业,主线,自动化,其他,支线,前期,中期,后期,附属,LIB,魔改,装饰",0,,,,,,,,,,,,,,,,
机械动力,Create,mc掌控齿轮的神,"科技,主线,自动化,前期,中期,后期",0,https://www.mcmod.cn/class/2021.html,328085,cf,,,,,,,,,,,,,
机械动力: 附魔工业,Create Enchantment Industry,mc掌控附魔的神,"科技,支线,前期,中期,后期,附属",0,https://www.mcmod.cn/class/7892.html,688768,cf,,,,,,,,,,,,,
机械动力: 喷气背包,Create Jetpack,mc掌握反作用力的神,"科技,支线,中期,附属",0,https://www.mcmod.cn/class/7338.html,655608,cf,,,,,,,,,,,,,
机械动力: 装饰美学,Create Deco,mc掌握坤美的神,"附属,装饰",0,https://www.mcmod.cn/class/5189.html,509285,cf,,,,,,,,,,,,,
机械动力: 中央厨房,Create Central Kitchen,mc掌控你的胃垒,"科技,食物/农业,支线,附属",0,https://www.mcmod.cn/class/9151.html,820977,cf,,,,,,,,,,,,,
...,KubeJS Delight,mc修改农夫的神,"实用,附属",0,https://www.mcmod.cn/class/10454.html,864875,cf,,,,,,,,,,,,,
农夫乐事,Farmer's Delight,mc掌握美食的神,"食物/农业,支线",0,https://www.mcmod.cn/class/2820.html,398521,cf,,,,,,,,,,,,,
下界乐事,Nether's Delight,mc掌控猪人的胃垒,"食物/农业,支线,附属",0,https://www.mcmod.cn/class/4563.html,496394,cf,,,,,,,,,,,,,
末地乐事,End's Delight,mc掌握末影龙的胃蕾,"食物/农业,附属",0,https://www.mcmod.cn/class/6298.html,662675,cf,,,,,,,,,,,,,
玉米乐事,Corn Delight,mc赫鲁晓夫的驻地,"食物/农业,附属",0,https://www.mcmod.cn/class/5646.html,577805,cf,,,,,,,,,,,,,
多元乐事,Cultural Delights,mc美食杂货铺,"食物/农业,附属",0,https://www.mcmod.cn/class/5609.html,574622,cf,,,,,,,,,,,,,
屠宰工艺,Butchercraft,mc掌管小动物的神,"食物/农业,附属",0,https://www.mcmod.cn/class/9501.html,265715,cf,,,,,,,,,,,,,
凤梨乐事,Pineapple Delight,mc统一台台的神,"食物/农业,附属",0,https://www.mcmod.cn/class/7871.html,687974,cf,,,,,,,,,,,,,
压缩动力,Compressed Creativity,mc掌管压缩的神,"科技,主线,前期,中期,附属",0,https://www.mcmod.cn/class/6054.html,549381,cf,,,,,,,,,,,,,
气动工艺,PneumaticCraft: Repressurized,mc掌管气压的神,"科技,主线,前期,中期",0,https://www.mcmod.cn/class/270.html,281849,cf,,,,,,,,,,,,,
沉浸工程,Immersive Engineering,mc制衡美国的神,"科技,主线,中期",0,https://www.mcmod.cn/class/463.html,231951,cf,,,,,,,,,,,,,
mcjty的管道,XNet,mc掌控优化的神,"科技,优化,实用,自动化,可选,中期,后期",0,https://www.mcmod.cn/class/775.html,260912,cf,,,,,,,,,,,,,
管道,pipez,mc常规管道,"实用,自动化,前期",0,https://www.mcmod.cn/class/3532.html,443900,cf,,,,,,,,,,,,,
通用机械,Mekanism,mc掌管卡顿的神,"科技,主线,中期,后期",0,https://www.mcmod.cn/class/187.html,268560,cf,,,,,,,,,,,,,
通用机械发电机,Mekanism Generators,mc掌管发电机的神,"科技,主线,中期,后期,附属",0,https://www.mcmod.cn/class/1323.html,268566,cf,,,,,,,,,,,,,
通用机械工具,Mekanism Tools,,"科技,支线,附属",0,https://www.mcmod.cn/class/1615.html,268567,cf,,,,,,,,,,,,,
通用机械附加,Mekanism Addition,,"科技,支线,附属",0,https://www.mcmod.cn/class/2437.html,345425,cf,,,,,,,,,,,,,
玉,Jade,,辅助,0,https://www.mcmod.cn/class/3482.html,324717,cf,,,,,,,,,,,,,
...,Jade Addons,,"辅助,附属",0,https://www.mcmod.cn/class/5837.html,583345,cf,,,,,,,,,,,,,
...,KubeJS,,魔改,0,https://www.mcmod.cn/class/2450.html,238086,cf,,,,,,,,,,,,,
...,More Mekanism Processing,,"实用,附属",0,https://www.mcmod.cn/class/6484.html,511965,cf,,,,,,,,,,,,,
通用机械-更多太阳能板,Mekanism-MoreSolarPanels,,"实用,附属",0,https://www.mcmod.cn/class/9892.html,844063,cf,,,,,,,,,,,,,
...,ProbeJS,,"附属,魔改",0,https://www.mcmod.cn/class/6486.html,585406,cf,,,,,,,,,,,,,
...,PowerfulJS,,"附属,魔改",0,https://www.mcmod.cn/class/9223.html,819845,cf,,,,,,,,,,,,,
...,MoreJS,,"附属,魔改",0,https://www.mcmod.cn/class/8760.html,666198,cf,,,,,,,,,,,,,
...,KubeJS Ars Nouveau,,"附属,魔改",0,https://www.mcmod.cn/class/10284.html,833926,cf,,,,,,,,,,,,,
新生魔艺,Ars Nouveau,,"魔法,主线",0,https://www.mcmod.cn/class/3468.html,401955,cf,,,,,,,,,,,,,
...,Ars Creo,,"魔法,实用,附属",0,https://www.mcmod.cn/class/5617.html,575698,cf,,,,,,,,,,,,,
元素魔艺,Ars Elemental,,"魔法,实用,附属",0,https://www.mcmod.cn/class/6014.html,561470,cf,,,,,,,,,,,,,
...,Ars Énergistique,,"魔法,实用,附属",0,https://www.mcmod.cn/class/12603.html,905641,cf,,,,,,,,,,,,,
...,Powah! Rearchitected,,"科技,主线",0,https://www.mcmod.cn/class/6605.html,633483,cf,,,,,,,,,,,,,
...,KubeJS Powah,,"实用,附属",0,https://www.mcmod.cn/class/10365.html,838378,cf,,,,,,,,,,,,,
...,KubeJS Create,,"实用,附属",0,https://www.mcmod.cn/class/5157.html,429371,cf,,,,,,,,,,,,,
封包通用机械,PackagedMekemicals,,"科技,自动化,后期",0,https://www.mcmod.cn/class/9890.html,609886,cf,,,,,,,,,,,,,
封包合成,PackagedAuto,,"实用,自动化",0,https://www.mcmod.cn/class/2974.html,308380,cf,,,,,,,,,,,,,
封包合成拓展,PackagedExCrafting,,"实用,附属",0,https://www.mcmod.cn/class/2975.html,322861,cf,,,,,,,,,,,,,
合成拓展,Extended Crafting,,魔改,0,https://www.mcmod.cn/class/1602.html,268387,cf,,,,,,,,,,,,,
植物魔法,botania,,"魔法,主线,中期,后期",0,https://www.mcmod.cn/class/332.html,225643,cf,,,,,,,,,,,,,
通量网络,Flux Networks,,"科技,实用",0,https://www.mcmod.cn/class/803.html,248020,cf,,,,,,,,,,,,,
应用能源2,Applied Energistics 2,,"科技,主线,中期",0,https://www.mcmod.cn/class/260.html,223794,cf,,,,,,,,,,,,,
 ...,ExtendedAE,,"科技,主线,中期,附属",0,https://www.mcmod.cn/class/11534.html,892005,cf,,,,,,,,,,,,,
AE2无线终端,Applied Energistics 2 Wireless Terminals,,"科技,主线,中期,附属",0,https://www.mcmod.cn/class/3712.html,459929,cf,,,,,,,,,,,,,
 ...,AE2 Things,,"科技,主线,中期,附属",0,https://www.mcmod.cn/class/6421.html,609977,cf,,,,,,,,,,,,,
精妙背包,Sophisticated Backpacks,,"冒险,辅助,实用",0,https://www.mcmod.cn/class/3739.html,422301,cf,,,,,,,,,,,,,
极限反应堆,Extreme Reactors,,"科技,主线,中期",0,https://www.mcmod.cn/class/814.html,250277,cf,,,,,,,,,,,,,
光子,Photon,,"辅助,魔改",0,https://www.mcmod.cn/class/10618.html,871522,cf,,,,,,,,,,,,,
机械动力：工业长路,Create: Industry/Create: The Factory Must Grow,,"科技,主线,前期,中期",0,https://www.mcmod.cn/class/8204.html,693815,cf,,,,,,,,,,,,,
寂静装备,Silent Gear,,"冒险,实用,其他",0,https://www.mcmod.cn/class/2791.html,297039,cf,,,,,,,,,,,,,
寂静宝石,Silent's Gems,,"冒险,实用,其他",0,https://www.mcmod.cn/class/1362.html,220311,cf,,,,,,,,,,,,,
字符魔法师,Scriptor Magicae,,"魔法,冒险,支线",0,https://www.mcmod.cn/class/8967.html,817436,cf,,,,,,,,,,,,,
...,Item Collectors,,"科技,自动化,前期,中期",0,https://www.mcmod.cn/class/4701.html,395620,cf,,,,,,,,,,,,,
试验假人,MmmMmmMmmMmm,,"冒险,辅助,实用",0,https://www.mcmod.cn/class/1139.html,225738,cf,,,,,,,,,,,,,
储物抽屉,Storage Drawers,,"实用,其他",0,https://www.mcmod.cn/class/408.html,223852,cf,,,,,,,,,,,,,
储液抽屉：遗产,Fluid Drawers Legacy,,"实用,其他,附属",0,https://www.mcmod.cn/class/6047.html,597669,cf,,,,,,,,,,,,,
神话植物学,MythicBotany,,"魔法,冒险,主线,中期,后期,附属",0,https://www.mcmod.cn/class/3644.html,400058,cf,,,,,,,,,,,,,
...,XNet Gases,,"辅助,实用,自动化,中期,附属",0,https://www.mcmod.cn/class/3705.html,383182,cf,,,,,,,,,,,,,
无尽贪婪：重生,Re:Avaritia,,"主线,其他,后期",0,https://www.mcmod.cn/class/6439.html,623969,cf,,,,,,,,,,,,,
木漏斗,Wooden Hopper,,"自动化,支线,前期",0,https://www.mcmod.cn/class/4349.html,440985,cf,,,,,,,,,,,,,
更多熔炉,Iron Furnaces,,"实用,支线",0,https://www.mcmod.cn/class/3027.html,237664,cf,,,,,,,,,,,,,
心之容器,Baubley Heart Canisters,,"冒险,实用,其他",0,https://www.mcmod.cn/class/2285.html,282947,cf,,,,,,,,,,,,,
应用能源：通用机械附属,Applied Mekanistics,,"科技,实用,中期,附属",0,https://www.mcmod.cn/class/6055.html,574300,cf,,,,,,,,,,,,,
末影存储,Ender Storage,,"实用,自动化,中期",0,https://www.mcmod.cn/class/76.html,245174,cf,,,,,,,,,,,,,
铁砧工艺,Anvilcraft,,"科技,实用,主线,前期,中期,后期",0,https://www.mcmod.cn/class/14068.html,986251,cf,,,,,,,,,,,,,
扩展存储,Expanded Storage,,"实用,前期",0,https://www.mcmod.cn/class/3583.html,978068,cf,,,,,,,,,,,,,
建筑小帮手,Building Gadgets,,"实用,中期",0,https://www.mcmod.cn/class/1379.html,298187,cf,,,,,,,,,,,,,
更美观的血条,Colorful Hearts,,"辅助,实用",1,https://www.mcmod.cn/class/1871.html,854213,cf,,,,,,,,,,,,,
金属储物桶,Metal Barrels,,"辅助,实用",0,https://www.mcmod.cn/class/5086.html,324985,cf,,,,,,,,,,,,,
...,Rock'n Roller,,"辅助,实用",1,https://www.mcmod.cn/class/11618.html,916852,cf,,,,,,,,,,,,,
应用能源：植物魔法附属,Applied Botanics Addon,,"科技,魔法,主线,中期,附属",0,https://www.mcmod.cn/class/6815.html,610632,cf,,,,,,,,,,,,,
幽灵方块同步修复,AntiGhost,,"优化,辅助,实用",0,https://www.mcmod.cn/class/3426.html,273279,cf,,,,,,,,,,,,,
倒置漏斗,Uppers,,"科技,自动化,前期",0,https://www.mcmod.cn/class/2296.html,281274,cf,,,,,,,,,,,,,
XL数据包,XL Packets,,"实用,其他",0,https://www.mcmod.cn/class/4559.html,391640,cf,,,,,,,,,,,,,
MEGA存储单元,MEGA Cells,,"科技,中期,附属",0,https://www.mcmod.cn/class/6792.html,622112,cf,,,,,,,,,,,,,
高级发电机,Advanced Generators,,"科技,支线,中期",0,https://www.mcmod.cn/class/675.html,223622,cf,,,,,,,,,,,,,
...,ME Requester,,"科技,自动化,附属",0,https://www.mcmod.cn/class/10066.html,688367,cf,,,,,,,,,,,,,
...,AE Additions - ExtraCells2 Fork,,"科技,自动化,中期,附属",0,https://www.mcmod.cn/class/5628.html,493962,cf,,,,,,,,,,,,,
...,Gravitational Modulating Additional Unit,,"实用,后期,附属",0,https://www.mcmod.cn/class/10425.html,656136,cf,,,,,,,,,,,,,
炼金化学,Alchemistry,,"科技,实用,主线,后期",0,https://www.mcmod.cn/class/1928.html,293425,cf,,,,,,,,,,,,,
电动力学,Electrodynamics,,"科技,主线,中期",0,https://www.mcmod.cn/class/185.html,316867,cf,,,,,,,,,,,,,
核科学,Nuclear Science,,"科技,主线,中期,后期,附属",0,https://www.mcmod.cn/class/3513.html,318646,cf,,,,,,,,,,,,,
弹道学,Ballistix,,"科技,主线,中期,后期,附属",0,https://www.mcmod.cn/class/3944.html,443915,cf,,,,,,,,,,,,,
装配线,Assembly Lines,,"科技,主线,中期",0,https://www.mcmod.cn/class/3498.html,404360,cf,,,,,,,,,,,,,
自然灵气,Nature's Aura,,"魔法,主线,中期",0,https://www.mcmod.cn/class/1547.html,306626,cf,,,,,,,,,,,,,
,KubeJS Botania,,"实用,附属,魔改",0,https://www.mcmod.cn/class/6505.html,618511,cf,,,,,,,,,,,,,
植物学拓展,Botanic Additions,,"魔法,中期,附属",0,https://www.mcmod.cn/class/1458.html,310637,cf,,,,,,,,,,,,,
初始套件,Starter Kit,,"实用,前期,魔改",0,https://www.mcmod.cn/class/5162.html,390717,cf,,,,,,,,,,,,,
...,In Control!,,"实用,其他,魔改",0,https://www.mcmod.cn/class/3826.html,257356,cf,,,,,,,,,,,,,
连锁破坏,FTB Ultimine,,"实用,其他,附属",0,https://www.mcmod.cn/class/3004.html,386134,cf,,,,,,,,,,,,,
...,FTB Library/FTB GUI Library,,"实用,其他",0,https://www.mcmod.cn/class/3184.html,404465,cf,,,,,,,,,,,,,
...,FTB Chunks,,"实用,其他,附属",0,https://www.mcmod.cn/class/3201.html,314906,cf,,,,,,,,,,,,,
FTB任务,FTB Quests,,"实用,其他,附属",0,https://www.mcmod.cn/class/1423.html,289412,cf,,,,,,,,,,,,,
...,FTB Essentials,,"实用,其他,附属",0,https://www.mcmod.cn/class/3202.html,410811,cf,,,,,,,,,,,,,
...,FTB Ranks,,"实用,其他,附属",0,https://www.mcmod.cn/class/3200.html,314905,cf,,,,,,,,,,,,,
FTB 团队,FTB Teams,,"实用,其他,附属",0,https://www.mcmod.cn/class/3179.html,404468,cf,,,,,,,,,,,,,
自动汉化更新,I18nUpdateMod,,"辅助,实用,其他",1,https://www.mcmod.cn/class/1188.html,297404,cf,,,,,,,,,,,,,
JEI物品管理器,Just Enough Items,,辅助,0,https://www.mcmod.cn/class/459.html,238222,cf,,,,,,,,,,,,,
JEI工作方块,Just Enough Professions,,"辅助,实用",0,https://www.mcmod.cn/class/4464.html,417645,cf,,,,,,,,,,,,,
JEI药水效果,jeed,,"辅助,实用",0,https://www.mcmod.cn/class/5460.html,532286,cf,,,,,,,,,,,,,
合成计算器,Just Enough Calculation,,"辅助,附属",0,https://www.mcmod.cn/class/3643.html,242223,cf,,,,,,,,,,,,,
通用拼音搜索,Just Enough Characters,,"辅助,可选",1,https://www.mcmod.cn/class/840.html,250702,cf,,,,,,,,,,,,,
。。。,Just Enough Immersive Multiblocks,,"辅助,附属",0,https://www.mcmod.cn/class/7731.html,634571,cf,,,,,,,,,,,,,
。。。,Just Enough Resources,,"辅助,附属",0,https://www.mcmod.cn/class/855.html,240630,cf,,,,,,,,,,,,,
飞跃地球,Beyond Earth,,"科技,主线,前期,中期,后期",0,https://www.mcmod.cn/class/2680.html,377448,cf,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,